Minisector,LEC,COL,Fastest
0,253.53401689014925,256.73572172280257,COL
1,127.56927779478372,138.84674300541533,COL
2,275.9934024135233,276.4291351777366,COL
3,314.95554582995413,310.8788863458409,LEC
4,298.62910882047294,293.7665360535129,LEC
5,326.63980670694366,314.46966110951564,LEC
6,339.2240548362659,313.8932492509091,LEC
7,326.59928145454546,308.0562969209737,LEC
8,204.8165964161506,179.64405968954404,LEC
9,186.97119898716684,192.71267211429034,COL
10,181.05544247349405,165.25838580011524,LEC
11,164.17399904666064,170.83414297896687,COL
12,246.47986904956446,243.7963472292968,LEC
13,264.1734807814331,261.47483901738866,LEC
14,256.86895167311826,259.71632833876146,COL
15,249.58626299681856,242.65506596242733,LEC
16,178.78534113676656,169.77742846380548,LEC
17,190.8314814706455,186.28874370480654,LEC
18,250.41434118908154,250.26104619246448,LEC
19,297.1728487692449,299.2303288498939,COL
20,315.8025221849599,314.93867784200677,LEC
21,290.6818348761921,293.8531568054011,COL
22,272.0069050660534,279.5715810559871,COL
23,236.14205271802481,208.64757734299823,LEC
24,122.59054620371754,124.45533713796095,COL
25,223.13784859944283,,LEC
