Minisector,RUS,COL,Fastest
0,313.9240280739506,312.4046229783252,RUS
1,325.9187804037645,328.74227440852485,COL
2,330.65611373871786,332.6301767756708,COL
3,301.13892989358146,302.0646193366667,COL
4,152.489175670293,149.69621185104663,RUS
5,196.73241383805765,191.521157832815,RUS
6,218.1480124375483,205.12986501381428,RUS
7,258.7933838994997,252.74936127681667,RUS
8,231.07344083846837,232.18298927460918,COL
9,156.3210654785933,143.90976272884632,RUS
10,208.84819285490815,205.06995770448913,RUS
11,121.6882714425364,114.38939677904312,RUS
12,228.550893227447,228.8990274662655,COL
13,163.14714734312878,196.46904167369868,COL
14,207.17803951738463,189.86841886273845,RUS
15,219.77815718974924,214.74939296557014,RUS
16,264.36019931061577,241.79779721217363,RUS
17,304.5161369479086,285.4309259307803,RUS
18,142.55998770418336,154.96342439484403,COL
19,157.13669879872515,144.49636805182263,RUS
20,132.268195768097,129.23778714313264,RUS
21,222.66669628635492,209.22700815782656,RUS
22,246.7271615504531,243.9518893852497,RUS
23,229.43737049483997,226.36466261915328,RUS
24,281.35448776632813,268.78372000628775,RUS
25,,298.7169387267985,COL
