Minisector,ANT,COL,Fastest
0,273.63157894736844,261.90235690235687,ANT
1,125.15070808820809,115.34019375933131,ANT
2,163.55902871075284,172.64164476673645,COL
3,206.5597866419295,198.88373809523807,ANT
4,174.28955314009661,164.53155942433452,ANT
5,238.5459001782531,242.15683621933624,COL
6,208.619099378882,185.96996052155444,ANT
7,138.20876176510467,141.27801354285714,COL
8,248.21969507101088,243.44044494636594,ANT
9,285.17712053571427,292.47714285714284,COL
10,282.8267448849713,272.8061536510527,ANT
11,157.96724644403216,146.10865222623679,ANT
12,225.86421141134002,237.56331799954913,COL
13,279.1001400560224,280.20669934640523,COL
14,258.32450980392156,226.25047123015872,ANT
15,104.61468896156924,101.21380458407883,ANT
16,236.26248487102194,238.49553275742343,COL
17,295.91898577612864,300.7907407407408,COL
18,313.7619658119658,319.3155677655678,COL
19,322.8232353338562,326.2956026885714,COL
20,325.64930555555554,328.6685238201905,COL
21,297.09236633249793,213.36063664596276,ANT
22,159.61681983427872,158.88536594382788,ANT
23,244.00773809523812,248.09561403508772,COL
24,283.2798941798942,285.8907271501833,COL
