Minisector,GAS,SAI,Fastest
0,263.3496121612694,263.1427872,GAS
1,250.19352138271606,248.65540424691358,GAS
2,167.52314161549512,169.20486998696742,SAI
3,247.2221110574956,247.3744434093827,SAI
4,271.39078807168056,273.34916612266665,SAI
5,189.61282177807152,198.17621330935253,SAI
6,121.87847163440168,125.3044646463003,SAI
7,160.46222984954733,159.3104503301927,GAS
8,259.0488767179487,256.34986779674364,GAS
9,182.83049350040494,188.36760640915332,SAI
10,183.20927619504974,183.03571569963648,GAS
11,256.40295897764344,252.76518546229858,GAS
12,247.36119677000443,244.23311288888888,GAS
13,254.44877566811815,261.3858474493712,SAI
14,282.12210054492755,282.80935151839805,SAI
15,288.2381400013223,293.49275501449273,SAI
16,148.60468532690572,152.83498736161837,SAI
17,237.75346111724755,234.63532614720282,GAS
18,281.7546369777778,282.4401408294667,SAI
19,293.67348480000004,296.1274618666667,SAI
20,297.1856603291274,300.1529209291801,SAI
21,298.46539867826084,305.2087866993197,SAI
22,150.72368622900723,170.87431573415114,SAI
23,91.7586934900067,93.16470506983141,SAI
24,177.8509628377084,168.30026143057964,GAS
25,245.541664,241.6374992,GAS
