Minisector,PER,ALO,Fastest
0,273.88908683174606,268.82857122539684,PER
1,302.1081444453648,292.3141217311016,PER
2,323.183088,304.85177049957235,PER
3,335.8351560666667,312.11778711484595,PER
4,341.26027775999995,316.96593129411764,PER
5,341.34294598052554,321.8611717843864,PER
6,227.9465304888889,208.10224370402932,PER
7,107.80427886562995,107.79156720881788,PER
8,175.7975181088025,189.0408931189741,ALO
9,263.156645909387,261.8301245240631,PER
10,297.83148124444443,290.40578696296296,PER
11,184.29012352086772,162.8188001342389,PER
12,99.22143657824846,99.91356979050354,ALO
13,115.82939076063491,119.83512092587019,ALO
14,223.5447876184393,222.6598056484567,PER
15,188.8117555809524,192.77961272380952,ALO
16,231.0904535303316,228.0012518387014,PER
17,180.39132946793652,183.9379459809524,ALO
18,237.45274217144444,237.94030184844925,ALO
19,276.66966772899997,277.8053019875443,ALO
20,253.64356242424245,249.21436869956707,PER
21,153.84864342552382,145.44584624166887,PER
22,97.71943521274889,96.76428576623981,PER
23,127.9215712907983,125.62389468081844,PER
24,225.36659674868662,225.79409715555553,ALO
25,254.58333333333331,,PER
