Minisector,BEA,ANT,Fastest
0,273.5196300026029,273.4786217267829,BEA
1,300.60378213046386,302.012378851498,ANT
2,312.46034258924624,317.02992914896663,ANT
3,318.66212133384613,325.3247162049887,ANT
4,320.10336739434445,328.9073451008547,ANT
5,322.1386458266667,330.71730983009525,ANT
6,205.36284734529497,202.10644317206348,BEA
7,106.68165921309928,109.8379988837539,ANT
8,193.55593358810208,192.71669879911897,BEA
9,262.670774064598,265.1404082805082,ANT
10,287.4838712711111,291.3672955277778,ANT
11,168.0945621589189,153.28600247667327,BEA
12,98.07523228437019,95.1428191177007,BEA
13,116.37029951181958,117.335565544127,ANT
14,222.19844767954427,218.07795797291402,BEA
15,190.28690071762088,189.88159801752124,BEA
16,225.56445297406128,221.56036799072464,BEA
17,183.17365103486296,182.36785589839465,BEA
18,234.65746453333335,234.7016220771849,ANT
19,276.6358528143915,279.7067426034568,ANT
20,248.56985757458838,235.99445653099696,BEA
21,148.3492762929138,145.3378287071609,BEA
22,98.18728651128947,95.75862694344252,BEA
23,127.02384759088949,124.0932652695949,BEA
24,225.56378484342858,224.6454945119879,BEA
