Minisector,PIA,HAM,Fastest
0,289.38222248296296,287.7378309733333,PIA
1,296.52481834713444,291.76893220845074,PIA
2,167.51651496320832,163.9699065948498,PIA
3,221.87008159815628,216.64354746219868,PIA
4,270.53243821883194,270.4048191518954,PIA
5,292.8957123413333,290.9133166243137,PIA
6,297.5039356444444,292.404794840648,PIA
7,174.9564614908121,168.334022540213,PIA
8,124.4025971723034,120.40707045272848,PIA
9,250.1613565511111,248.56075829714285,PIA
10,288.68512991525733,285.23406442728117,PIA
11,300.6843866495548,296.4831353269841,PIA
12,146.20685438203333,142.07961519817042,PIA
13,193.0973128752171,192.57885455364624,PIA
14,254.26812698324883,254.94999931070706,HAM
15,200.57119039459573,198.71174451540267,PIA
16,216.9397613277091,213.36429526296735,PIA
17,214.95714614760686,205.7655401760251,PIA
18,243.70749363580953,242.458010754709,PIA
19,279.10839557078054,276.8925436398413,PIA
20,296.3451781746939,293.99277014369255,PIA
21,264.41037382858417,256.44851380345676,PIA
22,226.34527375447993,212.27379328046175,PIA
23,203.92102048979592,202.45003186539682,PIA
24,263.2673698976312,263.54234476246916,HAM
