Minisector,RIC,VET,Fastest
0,308.4810949393139,307.4738847928345,RIC
1,235.82407450451464,237.80091041320534,VET
2,141.43425272962813,144.49142817946864,VET
3,221.67552477613808,230.04720292583715,VET
4,264.64584177847075,268.18988916128774,VET
5,290.05992613773935,289.6084272338661,RIC
6,304.6062499809524,303.24236339621694,RIC
7,284.2968918779193,289.07619386359016,VET
8,181.23430053892636,183.53160219737336,VET
9,242.89594234587972,241.95766700150585,RIC
10,274.71014990007166,274.1775599613006,RIC
11,270.57588002785695,277.6618369901488,VET
12,212.80300491410273,219.9254866661742,VET
13,137.62875249207323,138.078896513175,VET
14,124.14195347129221,126.93873244656956,VET
15,172.27789535952675,182.96332479502573,VET
16,128.79527401333056,124.51925538617111,RIC
17,233.6376704740427,231.895532939048,RIC
18,191.75651818483848,210.8879002563015,VET
19,171.6005646913898,162.1650321065855,RIC
20,249.09414800995373,245.64114899019282,RIC
21,277.7044079369722,277.11285671746674,RIC
22,293.5540325705394,293.4507880723902,RIC
23,303.70852218004904,302.54123939562885,RIC
24,308.40125870746397,307.87564883311734,RIC
25,,308.66250026666665,VET
