Minisector,ANT,OCO,Fastest
0,306.09174600380953,304.9174046997865,ANT
1,312.8286011352381,310.555923187671,ANT
2,298.1809896612139,295.09052153489176,ANT
3,179.6723162623164,169.3357811165553,ANT
4,226.89687787260695,210.75450210319016,ANT
5,198.812158021508,190.0715217826287,ANT
6,182.2029410157279,172.67603106689276,ANT
7,207.96349673860112,201.8541812071768,ANT
8,256.6155050989899,252.9265513628048,ANT
9,257.495726143569,249.2671051272672,ANT
10,176.67609989250582,171.35366157280265,ANT
11,234.0725669608602,230.45078148410428,ANT
12,127.6445121273051,123.306726359765,ANT
13,237.99091774157571,239.76583386640394,OCO
14,279.42916684495236,278.30622958111445,ANT
15,275.2711866968116,275.4384278526984,OCO
16,209.24040290921408,198.63677015932774,ANT
17,190.5570478610364,188.46647442200688,ANT
18,288.13995046545455,288.6254358121739,OCO
19,317.2170246899577,327.1262113074516,OCO
20,316.3078732293333,333.86478489955556,OCO
21,291.5804927751045,307.93947330757373,OCO
22,257.84383255948853,263.2724614768369,OCO
23,124.92041083912055,120.29514542471368,ANT
24,251.71800647064373,248.6619161642601,ANT
