Minisector,ANT,LEC,Fastest
0,285.42989293252526,294.9146020880912,LEC
1,292.72037033086417,301.15980039260506,LEC
2,244.97873723980186,252.1150206356159,LEC
3,122.99466022552889,121.45884656314287,ANT
4,127.62331136595566,130.54222459999897,LEC
5,252.04480089216932,257.7827258840453,LEC
6,268.7164326189899,264.93936342385484,ANT
7,126.39144341642158,122.654731103812,ANT
8,250.3817781516883,241.86955199337476,ANT
9,256.4795269953674,249.26580552177776,ANT
10,214.6340009756499,220.43026068301762,LEC
11,151.7047285736341,152.5502425609431,LEC
12,194.26945464224664,192.94776438234237,ANT
13,255.6774873568007,257.66469446139405,LEC
14,124.1788180416055,123.36459948619432,ANT
15,180.7658730414781,173.85535447743615,ANT
16,261.13108808347823,263.37735014492756,LEC
17,309.59850519293445,306.29973555973845,ANT
18,319.8139353952153,318.4776316150376,ANT
19,313.5972782667862,311.4426366133259,ANT
20,307.87177228590826,305.2782575709091,ANT
21,218.5970792347386,218.1727328008969,ANT
22,134.97387323942888,118.89884869485851,ANT
23,191.01165446619072,196.7634756126736,LEC
24,236.07383971878494,236.60583140935356,LEC
25,275.26000128,280.91749888,LEC
