Minisector,OCO,STR,Fastest
0,252.47135345020266,248.2702349975593,OCO
1,211.48047043291965,210.51644231693678,OCO
2,199.88015072644052,213.0360049913406,STR
3,262.8363637744886,258.5425203389048,OCO
4,277.87924009316004,271.6930417941043,OCO
5,292.75722246252246,288.5337600642494,OCO
6,157.41021305047636,163.6176289848573,STR
7,175.81301578004874,173.0986771874501,OCO
8,269.75562019969925,269.7647444445675,STR
9,297.5327823296541,306.66671008504204,STR
10,308.7201096844071,323.5611134475743,STR
11,307.6869130760115,319.0905475128541,STR
12,113.4458819577854,110.62119009602708,OCO
13,188.36943623370652,196.12469443806626,STR
14,269.7415106953304,279.16386832486273,STR
15,295.4307244417443,314.2980229994388,STR
16,297.6039136681008,312.2420794192261,STR
17,188.40604308896934,184.46310675463394,OCO
18,219.08050930450722,226.6378704213157,STR
19,269.6487751362057,262.86885264919744,OCO
20,153.36872137076162,141.1399462626569,OCO
21,139.46877882122678,144.8284411459808,STR
22,214.89487530627932,224.0030783706544,STR
23,237.18947533771944,214.2193843789347,OCO
24,154.0422282337187,159.8729057435668,STR
