Minisector,BOT,VER,Fastest
0,278.1141767508633,277.22684579394996,BOT
1,293.43937493333334,292.96416672,BOT
2,247.6866867204708,252.61612340869567,VER
3,115.97829126872082,120.88980960914284,VER
4,128.07219217939885,130.11323841949675,VER
5,248.41540280071038,245.978000128,BOT
6,250.04236088888888,261.40984853333333,VER
7,122.97067829613806,124.42608622086675,VER
8,248.54288204444444,245.42826501839724,BOT
9,263.5655176005106,267.48832198820867,VER
10,208.62912524926108,219.77590217663925,VER
11,140.4225961065673,145.57757922539682,VER
12,205.79258635750887,201.9715318909688,BOT
13,260.95543789437227,263.168610454101,VER
14,121.6551561169903,126.00702119249848,VER
15,195.64373226899718,184.12453098124465,BOT
16,260.69810637575756,254.31977966843,BOT
17,293.25547784098785,289.72401805714287,BOT
18,306.970888134872,304.73958336,BOT
19,312.9578947368421,313.0905019469006,VER
20,315.11535090526314,316.51203703703703,VER
21,169.48982767058826,212.20800345995428,VER
22,139.06765364346305,126.60384343519668,BOT
23,205.81456431255253,210.73158139174234,VER
24,236.16400017066667,226.6188668139213,BOT
25,264.7499968,263.4166677333333,BOT
