Minisector,HAM,BEA,Fastest
0,298.37089667540783,295.9843333594228,HAM
1,306.3542823407408,305.42992192,HAM
2,242.37439470419014,236.37525902786598,HAM
3,121.10864917267364,115.84819315527348,HAM
4,136.9792549591702,138.08354391304206,BEA
5,253.99942829555553,259.072138074047,BEA
6,259.8513645906418,249.0186229773545,HAM
7,127.162609117771,121.38864172324826,HAM
8,241.0930678168116,244.1095262169412,BEA
9,248.65297930433863,248.69327389587303,BEA
10,212.84072773931467,210.27122039820472,HAM
11,141.7055988630088,148.3832331238849,BEA
12,202.45767644,203.4768868663977,BEA
13,256.78743688971196,259.245551017944,BEA
14,115.74179309492031,113.60594059070156,HAM
15,185.01598895981112,185.39976637007493,BEA
16,264.82394577535354,263.29077073274755,HAM
17,305.9788617529514,311.1305061039599,BEA
18,318.22731240319615,318.6531248791667,BEA
19,311.2785498263036,323.06506360138326,BEA
20,305.8382517734336,326.3512499911111,BEA
21,168.34784298876053,165.1331610125658,HAM
22,139.46078605823732,151.3728767884459,BEA
23,188.9021805857611,182.345924230128,HAM
24,238.8470909183418,236.08324225678456,HAM
25,281.7,,HAM
