Minisector,ALO,GAS,Fastest
0,304.8043759254914,291.16911889657916,ALO
1,323.2429436052389,302.48463241322634,ALO
2,325.52647566666667,309.18467787114844,ALO
3,318.29361961666666,299.4408383461587,ALO
4,159.88106293051146,163.6903141516199,GAS
5,203.08744086849285,203.36967372465793,GAS
6,239.5199768490775,233.78311194653298,ALO
7,264.33988865336676,263.18429630319696,ALO
8,245.53839771015714,256.361,GAS
9,155.8971787612165,158.91236408263754,GAS
10,222.9287022509266,218.96278950724638,ALO
11,124.65365595404292,130.3527298856819,GAS
12,225.3327790968889,223.93325396825398,ALO
13,177.3883333726364,182.06565916680154,GAS
14,213.69360934338164,199.53536796536798,ALO
15,236.47998461832756,230.60820957306012,ALO
16,262.6250009896296,258.20329166666664,ALO
17,292.7033241769697,279.80947146172844,ALO
18,153.2441285637132,160.33163563065068,GAS
19,159.29015274141994,157.56004040079742,ALO
20,137.294790381244,138.52639386760234,GAS
21,230.19799535416013,229.88608257457062,ALO
22,259.426373333868,262.3241987096225,GAS
23,247.70835519445885,246.1832499481888,ALO
24,276.77632677272726,270.6343253968254,ALO
25,293.3875008,284.8812496,ALO
