Minisector,RUS,TSU,Fastest
0,295.11083703161904,284.85340136054424,RUS
1,311.3297949103399,293.42994628593306,RUS
2,320.7392387370308,299.1359524190476,RUS
3,316.6348874856079,294.93335600907034,RUS
4,145.131477793167,158.21118520666698,TSU
5,205.018384451046,195.86415692342857,RUS
6,230.79356526222224,213.14642841074925,RUS
7,261.902409587134,256.4848872180451,RUS
8,235.12980182177517,231.94763902921216,RUS
9,158.00816452407474,148.83056268167388,RUS
10,215.27150331455525,216.2236095662162,TSU
11,127.3544479260937,124.76670873929538,RUS
12,226.64937859635313,223.74341238471675,RUS
13,172.37901603374627,171.46748379890332,RUS
14,213.95977506170274,215.48377213695395,TSU
15,223.55215767785725,217.90335873391305,RUS
16,256.13579879575303,247.18206060606062,RUS
17,273.5182543714927,279.8338840571429,TSU
18,146.47321393471165,147.3236106532932,TSU
19,168.25805895294263,161.7192386335964,RUS
20,140.64697536174148,130.6280765934837,RUS
21,150.91923913189734,145.29283560016393,RUS
22,106.66004126350431,105.45760659699087,RUS
23,216.2973295533041,207.5264557445414,RUS
24,263.5794406685041,260.9525324675324,RUS
25,,278.01666666666665,TSU
