Minisector,HAM,LEC,Fastest
0,295.86896189026714,284.49385798787876,HAM
1,316.7827540749996,298.95940024037424,HAM
2,327.1901318736842,305.0720237714286,HAM
3,332.7868055703704,306.30228174391533,HAM
4,267.3703571488635,251.72498964858826,HAM
5,194.98162710857144,190.7471384872504,HAM
6,255.89003591552793,254.19799892710805,HAM
7,269.3830037905067,280.516581478458,LEC
8,209.3684120538588,207.51532889150013,HAM
9,214.33996829782882,207.16728241777778,HAM
10,145.97801771950267,140.9541609267607,HAM
11,247.43428942697847,245.00716620799997,HAM
12,274.5325756121212,273.6299735266264,HAM
13,227.0657653961647,217.93097389387756,HAM
14,261.53473041490685,262.1726545298183,LEC
15,233.54188320548866,224.37299543703705,HAM
16,184.82122306666668,183.2696143665773,HAM
17,258.71578841036546,257.013431347412,HAM
18,150.81065697746806,154.99825667677194,LEC
19,209.87829900013028,207.3268485170068,HAM
20,268.9215364502165,269.44986481928515,LEC
21,286.0470882043402,288.8626983111111,LEC
22,167.11779121269842,162.83414537735248,HAM
23,186.784046198341,178.8581929859944,HAM
24,258.0049684273292,256.2717547269457,HAM
25,274.47083306666667,275.55,LEC
