Minisector,LEC,LIN,Fastest
0,308.7388528035277,298.4295430523996,LEC
1,198.05772668281205,206.3799578845019,LIN
2,220.9104981228369,222.46491459809525,LIN
3,270.82514922574313,272.2452286695554,LIN
4,227.71413292320324,234.99841845424763,LIN
5,126.82289989923355,120.99029538521467,LEC
6,205.48594166320987,200.81289308685047,LEC
7,244.51526732674702,244.87127803345456,LIN
8,236.4872343658197,228.93742854700082,LEC
9,238.63525955572106,229.49476312926512,LEC
10,285.30293814688423,281.14753187479425,LEC
11,308.52179876648864,307.3425765663167,LEC
12,319.36382260035276,323.1323673204417,LIN
13,316.671898688,324.19854486942245,LIN
14,304.90154987570503,316.22475203196535,LIN
15,249.22613424899902,236.44205869557678,LEC
16,232.7695461183516,226.82605249792903,LEC
17,272.35189624069113,278.41882354652495,LIN
18,279.0130622811429,289.46006073593077,LIN
19,156.71489010830152,149.0336471374996,LEC
20,196.74229901157676,190.2194483348148,LEC
21,169.15873733326646,168.35351089178874,LEC
22,136.61983639653735,128.02010001951555,LEC
23,228.87619030881157,236.12400085766987,LIN
24,291.551631863107,288.9224189088348,LEC
25,304.87000064,,LEC
