Minisector,OCO,BOT,Fastest
0,295.01819197142856,291.7408331073016,OCO
1,304.60885888581004,300.9214582577778,OCO
2,311.1141026461538,308.04222236444446,OCO
3,309.5243525937871,303.85576974065935,OCO
4,187.7041120132505,201.3498621104204,BOT
5,97.55196274311024,100.58290102511144,BOT
6,199.3398124679833,203.53074010655146,BOT
7,253.76862775574227,255.96169713115748,BOT
8,280.2537740271524,281.56502901904764,BOT
9,288.34401073333333,293.1158340266667,BOT
10,149.75176778224858,152.16643479450215,BOT
11,173.70800119466665,178.94710010434784,BOT
12,235.42415341938073,240.173012255087,BOT
13,241.3289855118753,238.69128561827677,OCO
14,154.36999206042694,155.20997085714288,BOT
15,209.8357757652489,206.95711542448242,OCO
16,259.1399517605698,257.6747538644258,OCO
17,280.8066669511111,280.35572886666665,OCO
18,293.6049633870252,292.52562065411087,OCO
19,301.8925015807789,299.844539790821,OCO
20,279.69408146666666,286.290120584127,BOT
21,146.0943174024526,152.6294130772231,BOT
22,204.76390775440578,206.76179398487082,BOT
23,257.17489576694675,256.44936920560224,OCO
24,280.756750231735,279.20849115737946,OCO
25,,287.23888924444447,BOT
