Minisector,RUS,STR,Fastest
0,250.5961321338388,244.19843092994748,RUS
1,212.2890099650986,206.69857179428573,RUS
2,204.8100756283272,201.410870133398,RUS
3,254.95541687226387,254.28635418417502,RUS
4,269.33040267132975,270.36901152506124,STR
5,281.44676059200003,277.20364908985505,RUS
6,166.7230558248189,160.8770145602822,RUS
7,180.1460103270711,173.6986421539718,RUS
8,261.90863188759147,262.8003237774347,STR
9,285.6008517929881,288.81184811046717,STR
10,294.6319981624242,297.2933248076927,STR
11,297.12416634666664,292.8728653174641,RUS
12,108.98952405829428,115.70346154946799,STR
13,194.04823696203331,188.8295351288615,RUS
14,266.3101385525019,264.30261221777664,RUS
15,287.3924342905263,290.74552284734693,STR
16,284.41671423792206,292.0970896322255,STR
17,184.33661213623444,182.00886018862914,RUS
18,220.9254733902948,213.1048698794942,RUS
19,259.30893883225605,260.51493094603177,STR
20,154.9791979045614,155.34596618715898,STR
21,144.59085994045657,138.84517249021522,RUS
22,216.9308336134543,215.3927455874032,RUS
23,226.07315616386032,222.81295433560388,RUS
24,165.4616738076169,150.32776431891355,RUS
