Minisector,PIA,OCO,Fastest
0,297.5762582176242,320.6057869748148,OCO
1,208.19449525388035,193.33850298469136,PIA
2,149.59409073129706,147.12018602411896,PIA
3,227.43642504557914,215.0227404335601,PIA
4,175.30418460947067,157.93925144343336,PIA
5,193.80207381057363,189.34161534728023,PIA
6,255.83274761461124,255.18247536187175,PIA
7,277.92030356888887,280.2937034339124,OCO
8,281.68782851116424,286.08582042,OCO
9,266.61661450756304,263.20615772070175,PIA
10,256.28666653333335,251.8647682465185,PIA
11,250.30393440570964,229.78164674165413,PIA
12,221.7428531699499,191.89348922243246,PIA
13,134.77170402498425,126.37402585906086,PIA
14,147.30004319389707,132.30542892402116,PIA
15,179.19244196871986,192.6907704115023,OCO
16,252.16569514013585,262.0489841082707,OCO
17,239.3493584817166,231.38813672261114,PIA
18,115.68978669350568,110.36029616221307,PIA
19,201.75015957372773,206.82279628570288,OCO
20,207.4687658144222,194.23003453333334,PIA
21,239.67969958944164,241.10427284367753,OCO
22,266.40831538190116,280.3814496914286,OCO
23,282.02587450600123,300.0552835200355,OCO
24,292.8033927583332,315.86302320798035,OCO
25,295.2812504,,PIA
