Minisector,NOR,ALB,Fastest
0,288.5917139242548,284.14724986915826,NOR
1,159.56040705812595,154.3792050150411,NOR
2,149.1420672945266,146.51734234027052,NOR
3,226.35326873167435,222.66087586462947,NOR
4,286.1168762305845,287.6774719976246,ALB
5,288.2043142247619,283.7309028642856,NOR
6,140.3119273555954,136.83074600848764,NOR
7,135.5799337991121,137.38466629756613,ALB
8,139.86107344144654,126.9017691158403,NOR
9,187.9255142671977,184.54311564633417,NOR
10,126.29508218303413,124.22792915359099,NOR
11,124.28630023112846,125.72027893305388,ALB
12,169.08745418199914,167.67836995156748,NOR
13,270.26423179687754,267.8883282653968,NOR
14,291.08514737052155,291.3711069000756,ALB
15,150.77114000580562,146.768109359273,NOR
16,200.14616312157682,197.10844916408232,NOR
17,176.0929037481612,175.45841602352485,NOR
18,270.92493046495787,270.710152737018,NOR
19,293.7011024587239,294.66380416,ALB
20,308.69413241465753,309.823396377024,ALB
21,316.94759835580953,319.1390307265306,ALB
22,321.89082884791446,324.1175447649102,ALB
23,324.49984313766237,326.7640277688889,ALB
24,323.00553244298334,325.13028888266564,ALB
25,319.0,,NOR
