Minisector,ANT,ALB,Fastest
0,283.4222383085236,282.66955112699816,ANT
1,153.78787376556662,146.9530431362489,ANT
2,165.8208445846184,160.91048351213374,ANT
3,246.96024367171503,239.29585976845718,ANT
4,267.8673684210526,260.5162113629304,ANT
5,245.0464203491364,215.9737835163982,ANT
6,214.88876695511024,199.35238021460404,ANT
7,143.52167826363387,140.43221744978268,ANT
8,227.58339902268398,226.61972575134627,ANT
9,299.32839673377197,295.6113374521424,ANT
10,321.107436033115,323.10334713742526,ALB
11,325.48754167466666,327.55653120676317,ALB
12,317.96399697234295,320.7856536941565,ALB
13,310.8164457825427,306.0011201301638,ANT
14,125.367183438346,119.93387174382462,ANT
15,115.74442709599639,112.72107186699996,ANT
16,99.12454581327354,106.57260286666104,ALB
17,239.94448240899473,243.99789492783646,ALB
18,306.15584704903864,304.16490226161346,ANT
19,317.6121522309775,315.19861098922615,ANT
20,314.8109062533333,315.0984679579333,ALB
21,312.5970944296613,313.6637188155964,ALB
22,122.75939297044481,113.85727942300193,ANT
23,205.85184332538415,207.16645170447308,ALB
24,269.99526363659464,273.8725714187255,ALB
