Minisector,HUL,OCO,Fastest
0,298.76208661333334,289.71918861754386,HUL
1,301.9378840647037,297.0332808257143,HUL
2,148.6111467927778,160.54552196185148,OCO
3,222.93643777601434,220.70227197071895,HUL
4,280.45586180190475,274.29378303528387,HUL
5,307.73229200000003,291.8034076952381,HUL
6,319.3014717501141,297.85794637714287,HUL
7,142.21417233713026,164.4882643389322,OCO
8,128.3132540783651,130.45750523697384,OCO
9,252.8048784846561,248.2348929371429,HUL
10,293.88110460340226,284.39776266717195,HUL
11,304.94914295529406,294.7731479703704,HUL
12,139.46454702246692,136.65799766160993,HUL
13,193.32500142671938,191.63480354201224,HUL
14,255.56687525164023,257.3577154707996,OCO
15,199.08541641997547,196.9797878726089,HUL
16,215.894589395671,209.80289285714284,HUL
17,204.81184540054122,203.2434990947034,HUL
18,239.13127369580246,239.78661055733548,OCO
19,275.58006004888887,275.392585720979,HUL
20,290.3820793652288,291.2528324525461,OCO
21,249.66211440104576,247.21352367893633,HUL
22,216.0408756291209,216.49810237824542,OCO
23,202.62173141185187,190.53268767687445,HUL
24,263.11216958832665,261.7001484794581,HUL
25,,281.0625002666667,OCO
