Minisector,LEC,KVY,Fastest
0,257.91155795141253,257.7186759351502,LEC
1,211.34444728352406,202.58770659816565,LEC
2,223.57552023208427,221.81487770268652,LEC
3,263.15517630807454,261.24125378245515,LEC
4,278.840550367033,272.37771747246376,LEC
5,231.47932304120383,219.45794024580613,LEC
6,98.32162249759031,95.60715776108266,LEC
7,188.24145866614813,189.95954927963052,KVY
8,270.2433044651504,272.64418381583494,KVY
9,292.0132991863012,296.06671323432965,KVY
10,300.2738866564936,304.3963332766632,KVY
11,297.85687490738,299.4050347050395,KVY
12,113.94824672298043,112.37485835975592,LEC
13,216.31276372190834,216.61283299186564,KVY
14,276.89882766128295,279.234336046947,KVY
15,295.4507936507937,299.7189702312942,KVY
16,226.06669275874174,227.91933958979567,KVY
17,126.42363562616394,124.62126930157102,LEC
18,154.86491223582374,150.87239284506157,LEC
19,254.67126591307834,254.8867638799197,KVY
20,160.6208792271898,156.9897609903445,LEC
21,129.42799888289522,125.2496718708242,LEC
22,208.14306997313764,198.80319024468636,LEC
23,213.2188751563909,198.7262893170032,LEC
24,167.4907451382419,160.90109779749227,LEC
25,232.41666666666666,,LEC
