Minisector,NOR,ALO,Fastest
0,290.5133769204205,291.4296368903511,ALO
1,164.96156878226495,173.54738018050952,ALO
2,177.45434909161793,172.10693729087865,NOR
3,256.0004207190722,253.71717115936508,NOR
4,289.3784002015238,286.8274445591139,NOR
5,245.5624085448756,250.7710891140691,ALO
6,224.36082429923852,220.6341823209524,NOR
7,157.02697069537916,148.99859322273687,NOR
8,223.77912081345403,222.16632313594815,NOR
9,277.8898441331602,280.4841662422857,ALO
10,297.5265330087157,298.61332166359153,ALO
11,306.7593537959184,308.130069391746,ALO
12,309.1844689394395,312.33854626807016,ALO
13,307.8060272633135,309.3732427188889,ALO
14,132.38353083988474,125.33913331479617,NOR
15,118.13406492917466,114.28426708132294,NOR
16,102.98332411286756,100.22826108412767,NOR
17,233.82110878044048,232.74588766550937,NOR
18,286.11859616715725,287.39956909760207,ALO
19,305.91874160314836,307.8531074906667,ALO
20,315.8858974881203,317.98087552293356,ALO
21,318.76120627649124,318.52216268927987,NOR
22,117.96408805327037,124.38889377437921,ALO
23,204.3603710002005,202.57472006217844,NOR
24,270.54229534018447,269.9630199459127,NOR
25,,284.5375008,ALO
