Minisector,LEC,STR,Fastest
0,301.5524320950458,294.47306807709094,LEC
1,210.02574200060064,222.01189827675424,STR
2,231.38814742439962,230.43120338189715,LEC
3,279.68816125709793,274.71839655251443,LEC
4,248.00143230454108,245.48642710915752,LEC
5,126.79428924150963,128.66349141548213,STR
6,215.40027506349708,213.20351249293623,LEC
7,267.35519685514737,262.96838648838093,LEC
8,248.85899469793586,247.41072933791247,LEC
9,240.25089051165568,241.4027669854384,STR
10,279.3100173078852,275.7732094681905,LEC
11,296.0192848048073,291.86807680961675,LEC
12,311.9265208967145,301.5787834055053,LEC
13,323.2314943068501,305.37267205182184,LEC
14,326.26055559111114,304.57102960941177,LEC
15,270.9150268659377,252.03190895304348,LEC
16,247.5877940231511,246.21091970667004,LEC
17,287.864908051948,282.2678967651371,LEC
18,310.3886002734362,294.13693952827543,LEC
19,156.52853044018687,153.92274334654655,LEC
20,214.28322233843244,208.93090979109553,LEC
21,192.1186176618082,182.58100323697778,LEC
22,141.83327389342406,147.65434966098042,STR
23,239.5022457385908,238.519650364943,LEC
24,283.80764177577583,282.46780210151877,LEC
25,296.71666773333334,,LEC
