Minisector,SAI,LAW,Fastest
0,269.80714370975056,266.1112676616462,SAI
1,233.63890205714287,245.68816444210026,LAW
2,114.71435326252565,116.82403325004103,LAW
3,174.7065206469622,170.27703484211915,SAI
4,191.11854165330857,184.38061172984337,SAI
5,189.96671236258206,191.90338635057384,LAW
6,262.8349246623626,264.4536625240931,LAW
7,285.22623161829586,285.0793555686495,SAI
8,227.97832876039848,232.24814951022773,LAW
9,147.31497463927042,141.64665359149663,SAI
10,113.82335475421937,109.99773092960646,SAI
11,150.42245927261837,151.24605110455306,LAW
12,242.9680479531629,241.73967478598988,SAI
13,153.64892314559867,146.50083031037315,SAI
14,142.75827085882014,141.906775085743,SAI
15,108.01606065441321,102.9028055947106,SAI
16,225.31565438234162,215.94300776145118,SAI
17,226.50026572348293,217.03165760047736,SAI
18,125.22618836838993,123.29052080047225,SAI
19,241.86680804746453,240.61135991093028,SAI
20,277.2494411236774,275.4978528106425,SAI
21,198.87884624646463,186.36131283596788,SAI
22,140.2167011453086,144.17881189295656,LAW
23,210.48708354641272,205.44709099092407,SAI
24,227.23810942217145,221.61956589274857,SAI
25,254.5714304,,SAI
