Minisector,MAG,HUL,Fastest
0,314.8097686583235,297.3313663469979,MAG
1,253.5461676488,243.30748314224755,MAG
2,196.08981203610549,203.0883333688889,HUL
3,264.46833531333726,265.47927476892016,HUL
4,227.72543174658458,232.75862025255734,HUL
5,116.34451877573511,115.28466206145907,MAG
6,175.96791769099687,177.7952211137255,HUL
7,257.13010551286317,254.7477819860229,MAG
8,288.08582360883776,285.5791668848485,MAG
9,301.16191406011524,299.76854650715666,MAG
10,306.47280335731085,305.67934676290724,MAG
11,227.686688292233,225.4725548846722,MAG
12,143.10586081220546,144.99152790985426,HUL
13,255.93513958606235,254.90220506386422,MAG
14,287.587905634632,287.28373035827667,MAG
15,288.768269827932,297.81301940386464,HUL
16,286.28095444621607,294.39827484671287,HUL
17,262.24270855899834,263.2341513208175,HUL
18,184.15287579117137,183.68568487307417,MAG
19,188.8230757187002,190.6465445878272,HUL
20,181.25527785366558,176.31013174434057,MAG
21,250.73534513049347,247.01146024527372,MAG
22,126.77819297343622,127.53043702018972,HUL
23,201.25719070692412,189.7967728069264,MAG
24,275.26394586851404,273.3311520502103,MAG
25,289.47499946666665,288.59166719999996,MAG
