Minisector,ALO,PER,Fastest
0,303.0893228666667,306.91494789666666,PER
1,224.72764480298613,237.26218712874294,PER
2,129.03312815691334,128.73528539247167,ALO
3,213.5129622762348,217.59777019647427,PER
4,259.89482021668647,259.7549222518822,ALO
5,283.15485478496726,291.4814072927731,PER
6,297.2128193777778,311.78066309224494,PER
7,270.74199631519707,259.47112756108265,ALO
8,169.11557106481888,167.32219217529138,ALO
9,240.06687118846858,241.71124882851387,PER
10,270.870615265702,268.2773692990476,ALO
11,256.23125886431376,253.28184844734423,ALO
12,210.3247253737474,202.99408642534215,ALO
13,119.00193241351579,118.99113273867744,ALO
14,124.74133307901235,125.16234545121694,PER
15,158.22664076689625,152.21925189365749,ALO
16,117.54894471312456,129.58546738848287,PER
17,228.04221802901563,228.8414611011338,PER
18,178.8970081165576,145.9808227177642,ALO
19,164.58437342990123,169.18610894222223,PER
20,243.62557735238096,246.40930632917085,PER
21,270.871969838522,274.58697414349206,PER
22,287.6979147236907,295.14786848904504,PER
23,297.2538257385281,312.07936486603177,PER
24,301.33529402352946,321.40401152115436,PER
