Minisector,PER,KVY,Fastest
0,300.60126812753623,305.84090909090907,KVY
1,302.2624191379886,307.575086439857,KVY
2,257.3153303405714,242.35333333333332,PER
3,154.19580262795415,152.6870950635133,PER
4,169.19133839619047,164.8549758871922,PER
5,217.61921467898514,219.27298850574715,KVY
6,234.5930602713954,228.28096603740255,PER
7,213.2545216904378,211.2813492063492,PER
8,268.00296164793434,259.33027172741555,PER
9,252.4880146730267,252.31423611111111,PER
10,269.635178298142,265.9270833333333,PER
11,269.286448919192,268.72295560933605,PER
12,269.49049975466664,266.67013888888886,PER
13,265.8468132220603,260.8033613629676,PER
14,178.90056249987128,176.85272108843537,PER
15,239.42741284579498,236.18251766631394,PER
16,208.51343801476733,198.06385281385283,PER
17,176.14731693913453,174.62467657539344,PER
18,258.6600052775613,259.64235508307524,KVY
19,285.81208768261274,287.90869569855073,KVY
20,252.08111304674318,231.77289377289378,PER
21,183.70502288393882,186.08425956973667,KVY
22,256.6002585633747,259.88194444444446,KVY
23,285.5151441990827,287.09549705309155,KVY
24,296.3128624695652,298.32354165333334,KVY
