Minisector,VER,GAS,Fastest
0,279.35518294222226,278.081697298707,VER
1,297.5620090724894,292.41363566198123,VER
2,298.272529389811,285.0801214403447,VER
3,187.00453195471195,163.20741721471703,VER
4,119.80701883148336,119.62361316855262,VER
5,236.25323988524397,238.12655779138098,GAS
6,285.31539146593104,284.63980321923725,VER
7,294.40081822857144,290.6129188426025,VER
8,169.7917909642245,170.5905531963652,GAS
9,142.0037676290619,138.8546548968117,VER
10,251.33225140029361,250.80691852824035,VER
11,292.64412235950306,288.4465026422039,VER
12,298.2798522587508,301.63726729162005,GAS
13,279.4706373499034,279.93695119703705,GAS
14,304.101607374043,304.120007130886,GAS
15,306.5223861597691,303.4093577108822,VER
16,246.50169862921908,244.3259834074725,VER
17,225.02859186089373,222.07657157468108,VER
18,284.74152275331585,287.0431097450607,GAS
19,309.74505424098766,319.8800815779473,GAS
20,316.81125385452714,323.0920418406015,GAS
21,236.099122524,218.06555397464697,VER
22,260.3579118092929,257.92901403897434,VER
23,136.7517140805243,135.66583953171192,VER
24,209.46932176027488,216.25815320135177,GAS
25,261.1071451428572,,VER
