Minisector,SAI,RUS,Fastest
0,295.1427814808768,281.0456025657414,SAI
1,319.68350222370856,295.8429698117293,SAI
2,311.9561180124224,289.2019283324445,SAI
3,182.52321266243746,177.43044641196624,SAI
4,219.09971126233768,223.9477781026274,RUS
5,207.27468899263738,203.73380179676954,SAI
6,181.5290384006173,179.57464574637012,SAI
7,209.307355575459,210.1765229666402,RUS
8,260.24458513846594,260.0804939425641,SAI
9,265.94569113756614,263.7133555000412,SAI
10,166.42375336950664,168.59182710762394,RUS
11,234.60355406995205,239.95683482043293,RUS
12,119.98650291237519,120.81299077476861,RUS
13,223.98910262185356,222.59019655292064,SAI
14,277.24446430056,275.1098944030352,SAI
15,293.5008383669841,292.3362498618182,SAI
16,219.52435010831036,214.24373439989333,SAI
17,188.31298268698413,185.32629241856554,SAI
18,265.14980911260994,268.03234085748915,RUS
19,290.9215344084656,290.02547048311686,SAI
20,299.80314982389507,300.9938257477318,RUS
21,300.44406635693406,299.92674758119426,SAI
22,282.6569635667136,270.0881606487407,SAI
23,115.7795946987663,117.2486692517741,RUS
24,234.7998277083184,241.1092458667513,RUS
