Minisector,VER,GAS,Fastest
0,252.8311068441294,257.714438919224,GAS
1,210.529693956523,202.28362897659343,VER
2,216.54428857631876,217.76196098064517,GAS
3,256.7081730871795,259.95754589737084,GAS
4,271.36693565290614,274.0316664,GAS
5,225.71824625287357,221.16998762364872,VER
6,101.72683054588343,95.54694714717789,VER
7,185.47883184439476,183.31193623063064,VER
8,264.92266683733334,268.4431344563389,GAS
9,286.25533859845837,288.901295090354,GAS
10,292.5151516121212,295.76524141525846,GAS
11,286.2042967295328,289.0138630812679,GAS
12,114.34627042474209,112.82788892946436,VER
13,214.25268872258064,215.08050232814878,GAS
14,271.2246627848383,275.71766882563264,GAS
15,288.3675346666667,293.48178053830225,GAS
16,224.67060463136926,221.17237835551384,VER
17,126.69004799752724,121.8907246839568,VER
18,156.9448089058201,152.10322657551632,VER
19,249.0096153846154,253.2774028698413,GAS
20,161.29020950898658,155.44218611261203,VER
21,134.84756438643845,127.1772216235976,VER
22,200.62421375100016,204.68816745743146,GAS
23,207.9855037930303,202.24221749759704,VER
24,170.36406344,166.73429834366317,VER
25,228.8750016,,VER
