Minisector,NOR,MAG,Fastest
0,271.92873250562195,268.5630695836867,NOR
1,251.46336912787092,248.8573625509957,NOR
2,118.53289174101741,119.4360265614255,MAG
3,169.14204519736035,172.35176190994386,MAG
4,196.97327890229278,191.50049286384237,NOR
5,195.03229650648203,190.9516431068033,NOR
6,263.4506924364626,264.8462335498039,MAG
7,286.1806043687619,285.5073937746032,NOR
8,224.97460080263954,230.3927179379965,MAG
9,143.52531568467106,143.5888832776608,MAG
10,112.15670925955258,110.61341857741873,NOR
11,153.89476226831042,149.26522053867558,NOR
12,244.35001243255863,242.0131939328883,NOR
13,149.90665412404994,155.2448806967531,MAG
14,141.31992613965,143.11569315068212,MAG
15,107.57995703240941,108.0443232134401,MAG
16,216.92314436097158,212.0565282046754,NOR
17,231.34475274891255,242.6866703078788,MAG
18,125.09902056703005,122.70845870116288,NOR
19,238.2244776518595,234.95735402456754,NOR
20,275.54628634324206,272.90490355116884,NOR
21,210.3959696152381,215.24349844033318,MAG
22,138.20433826753646,135.0996062581309,NOR
23,213.05959125090908,211.9069041853013,NOR
24,224.53894401135074,216.6452771111111,NOR
25,,253.74666837333334,MAG
