Minisector,RIC,LEC,Fastest
0,310.9730911078402,292.12155779710145,RIC
1,327.33684557714287,300.6278984811594,RIC
2,289.995809052105,283.40900275581816,RIC
3,110.66917481858022,112.77010523606636,LEC
4,230.7286960551724,230.29568893793103,RIC
5,287.2233594702762,272.11660082040106,RIC
6,226.94488925591398,207.2861534117647,RIC
7,172.91064572991925,175.0287293673047,LEC
8,214.5490093966029,219.0082827276919,LEC
9,226.175062181564,228.72861123555555,LEC
10,120.63839111845219,119.4919705795397,RIC
11,233.52106864890217,232.16532127594843,RIC
12,123.74912451121564,119.2702640303029,RIC
13,226.99170079064075,225.22781114745484,RIC
14,273.6720005546667,273.1179997013333,RIC
15,217.47412059301655,218.2170324457143,LEC
16,201.85286550680698,202.86045377939394,LEC
17,252.62061281410934,255.63040098765433,LEC
18,199.61812954590454,203.62005387488762,LEC
19,190.12192076523294,190.96468722913164,LEC
20,264.05740824733164,263.797069192674,RIC
21,288.585253787131,288.3677535072464,RIC
22,168.00532612901998,166.4620646618751,RIC
23,220.8055434592396,218.55416543655912,RIC
24,274.090188389375,273.4211657581648,RIC
25,285.64999893333334,,RIC
