Minisector,VER,GAS,Fastest
0,291.2610157992419,293.01091297076607,GAS
1,300.55955311075695,303.0576755087719,GAS
2,285.41689585005463,287.93030038120156,GAS
3,112.8281834036576,114.05099342065925,GAS
4,226.22271286009519,228.67745593945213,GAS
5,265.3547883751655,265.106759865202,VER
6,206.76138644795103,199.86253563443378,VER
7,164.4231963457875,167.01065273020004,GAS
8,201.49241861659172,193.28422100133403,VER
9,217.60495840815886,205.4635726975359,VER
10,112.98012259298349,115.22303210746594,GAS
11,227.68759451308443,230.77096191976852,GAS
12,115.67527975881345,115.75550604445729,GAS
13,221.67945577829633,224.3428724798914,GAS
14,271.7897445275787,271.4724071649318,VER
15,225.40392006518584,218.33902471746373,VER
16,203.89407698327182,196.55585746748957,VER
17,250.59258129063141,247.63361096768548,VER
18,201.20999134698442,199.85856082315757,VER
19,184.8782929295813,184.9437530327099,GAS
20,267.81655403313755,268.77492728884624,GAS
21,294.2116394833481,295.6660142731782,GAS
22,163.03819898720658,167.96767387757984,GAS
23,210.9077092986252,213.8086052523435,GAS
24,271.6590394740443,273.5880172674174,GAS
25,283.97499946666665,,VER
