Minisector,ALO,GAS,Fastest
0,303.0893228666667,308.6804200599066,GAS
1,224.72764480298613,210.6108808121212,ALO
2,129.03312815691334,132.80813128259499,GAS
3,213.5129622762348,215.19792787990932,GAS
4,259.89482021668647,261.3411242659132,GAS
5,283.15485478496726,290.23647920522876,GAS
6,297.2128193777778,304.44149682176874,GAS
7,270.74199631519707,262.30470916250476,ALO
8,169.11557106481888,165.5029683925503,ALO
9,240.06687118846858,235.34725232479963,ALO
10,270.870615265702,271.1268572657321,GAS
11,256.23125886431376,254.95943232120302,ALO
12,210.3247253737474,197.14605923357593,ALO
13,119.00193241351579,120.16090902993895,GAS
14,124.74133307901235,119.27150477440077,ALO
15,158.22664076689625,162.32792105414495,GAS
16,117.54894471312456,125.54660608918552,GAS
17,228.04221802901563,222.79994196970685,ALO
18,178.8970081165576,166.98981447941034,ALO
19,164.58437342990123,154.08141143386038,ALO
20,243.62557735238096,245.9043749751684,GAS
21,270.871969838522,279.94230796867726,GAS
22,287.6979147236907,302.3368395361905,GAS
23,297.2538257385281,315.367885270303,GAS
24,301.33529402352946,320.93985689918696,GAS
