Minisector,STR,KVY,Fastest
0,318.3669022898245,328.3282150059422,KVY
1,328.32298952469404,344.2277775746032,KVY
2,324.63456438787875,344.8061508571428,KVY
3,199.12405117555446,186.9229768077178,STR
4,121.29095685790361,124.1094062037441,KVY
5,267.1142180871739,266.60227754072105,STR
6,300.99427062222225,300.8125734121306,STR
7,315.77471538881986,308.2894096888889,STR
8,291.37593367767164,262.2326564734694,STR
9,146.19877973861597,147.0246759861687,KVY
10,225.63938513744102,216.2390161131313,STR
11,219.7262724798248,215.57984739844972,STR
12,200.9000393270321,198.90347238518518,STR
13,269.2721171785724,271.6439963547328,KVY
14,304.87269694409935,304.45756307246376,STR
15,316.56845664894996,311.5657071708372,STR
16,267.593362962963,256.53222014285717,STR
17,205.5177727678754,205.17926954986143,STR
18,272.60936490421125,274.68797994432236,KVY
19,305.39148507826087,307.84972176888886,KVY
20,319.67686137596644,316.8965580057971,STR
21,310.90572952315864,288.05877299631027,STR
22,210.42164123196903,207.12576994061624,STR
23,262.9471723809524,267.2240046539342,KVY
24,301.5249841498183,302.9374498031746,KVY
