Minisector,ANT,PIA,Fastest
0,306.09174600380953,274.8436364509091,ANT
1,312.8286011352381,309.732776768,ANT
2,298.1809896612139,288.17851151809526,ANT
3,179.6723162623164,169.66959391727215,ANT
4,226.89687787260695,218.96967490324784,ANT
5,198.812158021508,194.7799943105339,ANT
6,182.2029410157279,180.1091065493474,ANT
7,207.96349673860112,214.39194663896106,PIA
8,256.6155050989899,253.29431212698412,ANT
9,257.495726143569,243.46205789315195,ANT
10,176.67609989250582,174.01477718070385,ANT
11,234.0725669608602,236.72952331724866,PIA
12,127.6445121273051,121.88853494491914,ANT
13,237.99091774157571,251.1358853422221,PIA
14,279.42916684495236,274.60366990708076,ANT
15,275.2711866968116,267.47799827477627,ANT
16,209.24040290921408,193.76831563989276,ANT
17,190.5570478610364,208.33896780619048,PIA
18,288.13995046545455,300.13558369751684,PIA
19,317.2170246899577,316.00868759727894,ANT
20,316.3078732293333,309.1929164495238,ANT
21,291.5804927751045,288.65908273770185,ANT
22,257.84383255948853,226.42860204576132,ANT
23,124.92041083912055,131.808208514211,PIA
24,251.71800647064373,260.5107143481907,PIA
