Minisector,RUS,LEC,Fastest
0,269.49816686842905,272.95022562646614,LEC
1,244.1731492739469,249.14912319102132,LEC
2,117.03559219883968,122.50914811928206,LEC
3,171.22656779064582,169.72035449686726,RUS
4,193.65928958754736,198.89326169914673,LEC
5,197.38810891567107,195.29399650490842,RUS
6,262.43303549002076,267.3231341359045,LEC
7,285.20902803137255,288.8412972198136,LEC
8,228.59965683039593,233.6590310124542,LEC
9,145.59692896279356,147.90757590842503,LEC
10,117.14214329231511,118.36929042846255,LEC
11,151.54281270422595,155.4086728252715,LEC
12,243.41220747881297,249.08737980171261,LEC
13,145.08316159374155,151.03135750982673,LEC
14,147.99425984154027,157.30206203106198,LEC
15,105.6482126831669,108.92220320522313,LEC
16,224.55167962993247,223.32137196634721,RUS
17,230.35223175455556,229.6719771073016,RUS
18,115.60222650834064,131.40728762725152,LEC
19,240.12337067528054,241.5720887557932,LEC
20,272.570108630303,274.87638578565765,LEC
21,204.89561450132132,197.30254751664305,RUS
22,150.64494665606125,156.176716125977,LEC
23,215.16302751291735,217.1077581339964,LEC
24,227.84309497087276,232.11860131869568,LEC
