Minisector,BOT,HAM,Fastest
0,239.52661577339651,233.4211136098328,BOT
1,287.83600025600003,286.2251146842491,BOT
2,301.7123803990128,302.2924815688801,HAM
3,308.3988095873016,310.06509746147185,HAM
4,268.43966218271606,267.4001627548874,BOT
5,171.27843346544108,168.11673289961513,BOT
6,265.50703519604207,262.04606341313126,BOT
7,285.3316667733333,275.41585719466667,BOT
8,212.89570859807733,213.30352548030731,HAM
9,226.1726106375888,223.3174250989899,BOT
10,180.21771363503896,181.61203330435453,HAM
11,232.17059532456435,225.2570519425089,BOT
12,209.41034990726155,202.352527931684,BOT
13,211.3936820449227,209.14623852290902,BOT
14,228.26101786845624,221.2287953809524,BOT
15,177.53768008661484,180.2114919751905,HAM
16,250.2551804866429,250.210844682136,BOT
17,290.8311236113463,291.10835740038095,HAM
18,304.97595332628686,306.00923923478257,HAM
19,288.781343704486,282.5797818498042,BOT
20,128.78960785317173,130.04995705304665,HAM
21,155.2490141539271,156.90491907932588,HAM
22,158.83325162638766,151.89383887629916,BOT
23,202.1050936152628,199.48892672695592,BOT
24,149.30240330989272,144.7348735857355,BOT
25,192.50000213333334,187.96249706666666,BOT
