Minisector,VER,HAM,Fastest
0,294.00734374269837,290.02803108810457,VER
1,167.79959670483439,161.72397885446438,VER
2,174.16979486192753,172.91668245450023,VER
3,251.60227958719264,253.99094713634688,HAM
4,288.42102711869654,282.97447919919193,VER
5,256.4247121811582,251.22325979484884,VER
6,229.21719758955822,226.51628059654323,VER
7,156.54178295344346,152.49442697936607,VER
8,230.48528752965078,227.6616124216889,VER
9,281.34911973618347,277.54959257981494,VER
10,299.9306413619295,296.26500636818713,VER
11,308.58545491897047,302.8733872364827,VER
12,313.06969246031747,305.74185465797825,VER
13,314.220918214966,307.57318374472936,VER
14,138.54591192680476,134.21264774699293,VER
15,127.04667051154846,123.94448683960108,VER
16,102.46848640506535,103.05889905867068,HAM
17,234.40825399712614,233.8267496010442,VER
18,288.39047065475836,285.6946441504974,VER
19,307.9534475424339,303.923421870548,VER
20,318.19992575914955,312.87022803640474,VER
21,323.6303921568628,317.5365497263158,VER
22,133.06608004609186,125.01136135422496,VER
23,193.8820066320599,205.7958228143777,HAM
24,269.5308341056318,266.6783066451948,VER
25,283.9062496,,VER
