Minisector,SAI,RIC,Fastest
0,290.40326953693005,285.1137153154638,SAI
1,294.3375730196079,293.8371326117647,SAI
2,158.94853865980363,159.5436183288548,RIC
3,217.9918431799846,215.4969349983976,SAI
4,270.3504772931696,269.6846464646465,SAI
5,292.1171865109815,294.25464517727386,RIC
6,298.8721510269733,302.48362661925927,RIC
7,156.03860987870968,173.9666740892659,RIC
8,123.07914447050506,104.96796077661742,SAI
9,247.99310429926436,247.34411187916908,SAI
10,288.7547484894942,285.4227664197531,SAI
11,301.1523101780494,298.28828571428573,SAI
12,148.06569709234842,147.49655493930425,SAI
13,192.8909352066116,177.83985665580056,SAI
14,255.67492261137696,253.49688898165417,SAI
15,196.49703683483256,197.80849661754388,RIC
16,211.31002521104864,206.05195416540212,SAI
17,201.890126810386,196.40791932307692,SAI
18,237.6091646001803,228.8634086690909,SAI
19,276.05539126417113,272.3872653733333,SAI
20,294.21297633523807,292.909649859944,SAI
21,260.46071220638413,247.29313617608466,SAI
22,220.30094734689519,213.61083810920636,SAI
23,203.60217593803358,201.01884537542944,SAI
24,262.43048678319326,258.4000310920635,SAI
25,280.8874976,277.88500096,SAI
