Minisector,HUL,TSU,Fastest
0,313.1845405401212,295.7463637754459,HUL
1,210.6330800558422,200.87415475396807,HUL
2,228.55476177191696,230.29751939050504,TSU
3,283.3524326431746,275.1678074344194,HUL
4,239.4236491798335,230.7382967798942,HUL
5,125.56934918905775,125.36407309677442,HUL
6,210.34122720013852,212.08786824036787,TSU
7,260.6374270815584,256.42143497910087,HUL
8,250.09482909496597,242.01550053052526,HUL
9,239.92832504160367,237.20437129258445,HUL
10,278.5029092566082,273.37110863178856,HUL
11,295.191996663853,290.7681794677339,HUL
12,310.15741516663104,298.48864329142856,HUL
13,323.39876453426905,301.52492957196444,HUL
14,324.5781578105263,299.8013944239674,HUL
15,249.79311722271606,254.88686328540393,TSU
16,240.23438877541508,244.05687678572144,TSU
17,283.4681165732756,277.1525178359486,HUL
18,304.77872185926464,285.98647156630403,HUL
19,159.57255290319165,153.90134035214314,HUL
20,206.6831235505866,212.76960253890363,TSU
21,178.32629210718363,172.97744853313893,HUL
22,142.23303376345334,146.98374974353928,TSU
23,239.90067055216178,239.21744503180375,HUL
24,294.22531201886625,282.0182992593743,HUL
