Minisector,LEC,ALO,Fastest
0,302.9067644844942,301.24839945082965,LEC
1,239.8169986001867,228.43170851373696,LEC
2,132.78672032734076,127.88922286953172,LEC
3,237.67911572898635,235.975832183296,LEC
4,195.266560338831,195.242752855963,LEC
5,245.15857115245822,244.49207804470174,LEC
6,233.9853719460616,230.9082035058128,LEC
7,257.9298322827862,260.1962437396067,ALO
8,293.0804806929381,290.94608716441815,LEC
9,204.0264164982146,204.95926464970637,ALO
10,210.66055894863788,214.67292166987974,ALO
11,276.9426255312842,273.0461013818034,LEC
12,214.30604636607654,210.06343502157551,LEC
13,255.311126984127,257.22203289231516,ALO
14,293.3960408584127,293.6810832382291,ALO
15,315.78112193362193,308.0526373436025,LEC
16,324.2403736865801,301.74241969322816,LEC
17,215.94250102951594,208.6204262521783,LEC
18,262.27138598857965,264.51461860051074,ALO
19,293.0420192615385,295.5032990603175,ALO
20,306.75241916836944,309.3239633879365,ALO
21,311.8580246644712,307.34119431514176,LEC
22,157.07716400565457,145.98236184581114,LEC
23,235.27755707541448,238.86713817914315,ALO
24,279.8607446323451,287.20201779007715,ALO
25,287.2499986285714,,LEC
