Minisector,SAI,HAM,Fastest
0,248.20513572392156,249.13204475238095,HAM
1,122.87504881596284,127.2001710767478,HAM
2,205.78836035324673,197.79028289458412,SAI
3,246.79142436569416,244.31383734592248,SAI
4,257.75948557206345,259.18652197384125,HAM
5,178.8211110271937,169.199825613635,SAI
6,143.30059982447972,140.0167429212746,SAI
7,180.56075520241814,180.11630816609335,SAI
8,99.96410281623946,102.06272346688343,HAM
9,73.70771669431117,70.44745569119522,SAI
10,93.74848820142056,94.89050087012042,HAM
11,188.36438835428572,185.44915325510598,SAI
12,244.51975857884335,244.1329640391111,SAI
13,267.2746530466936,266.78448181229754,SAI
14,273.5605745964945,270.5979924571429,SAI
15,104.59177569283625,104.3963915855355,SAI
16,143.91039394438096,150.2438051424514,HAM
17,170.07947654451576,173.39366762943723,HAM
18,196.10075270775025,194.2933356254933,SAI
19,206.6817204688889,196.28688958965253,SAI
20,133.74839598142526,130.98513848665675,SAI
21,101.49531482877266,102.61321490498572,HAM
22,100.63146046945847,100.24210092418146,SAI
23,201.0896152735635,197.63677710930256,SAI
24,251.70163443543936,248.08048784886017,SAI
25,263.74999893333336,263.39000064,SAI
