Minisector,ALO,RAI,Fastest
0,230.25682617510978,228.6174742210954,ALO
1,280.915880832,281.08186267375504,RAI
2,293.47743026666666,297.2691666529524,RAI
3,297.6470547667537,302.93039258944526,RAI
4,263.5831563941582,265.1508816818342,RAI
5,163.7467311246697,158.04119708053813,ALO
6,257.3901802622111,255.87379549316913,ALO
7,276.9709876148148,275.02638885925927,ALO
8,213.67790678250935,201.16930926312259,ALO
9,216.90694357979797,214.17951501546338,ALO
10,180.4646032744734,174.00593577846627,ALO
11,220.4595939872876,216.54081854147498,ALO
12,199.16576634234235,197.30187378284458,ALO
13,210.3164989840825,204.47999862857145,ALO
14,213.50966721385282,217.8505420711789,RAI
15,181.07945319836526,174.7735951283759,ALO
16,245.80412088285286,242.47972072775042,ALO
17,283.01519021104764,283.44071220515383,RAI
18,293.8820759492921,297.475666688,RAI
19,281.9308214574956,292.53696549104046,RAI
20,132.32015645914228,126.99973791653424,ALO
21,156.5374440703773,152.4112979849801,ALO
22,151.1023152254114,144.75545453638406,ALO
23,200.42105704423162,198.021630421703,ALO
24,145.388197975518,141.0017204665274,ALO
25,182.5583264,,ALO
