Minisector,GAS,STR,Fastest
0,278.081697298707,276.60810216299205,GAS
1,292.41363566198123,294.8015348240628,STR
2,285.0801214403447,294.41944565163635,STR
3,164.44510261308497,177.33139756095517,STR
4,119.51783438482846,116.18416782039168,GAS
5,238.12655779138098,232.73274100072396,GAS
6,284.63980321923725,279.4822975965368,GAS
7,290.6129188426025,291.67586017567976,STR
8,171.4402907851531,168.4801309821412,GAS
9,138.88010701021588,130.87319229200054,GAS
10,249.9037088223176,245.66888301968254,GAS
11,287.948828614282,285.7695234658121,GAS
12,301.63726729162005,298.1668986805797,GAS
13,279.93695119703705,275.90992971736415,GAS
14,304.120007130886,300.84202211126893,GAS
15,303.4093577108822,305.0628627733242,STR
16,246.02602280777145,239.2584287473635,GAS
17,221.29766491411644,217.52293601306934,GAS
18,287.0431097450607,279.3242677595283,GAS
19,318.97985252152876,304.5187029203809,GAS
20,323.5577657687075,311.41608907469947,GAS
21,217.6036094737415,229.13145234438295,STR
22,257.2588219897436,251.92075275189686,GAS
23,137.83458937898465,146.78854633813413,STR
24,214.28133591380953,198.9005255837608,GAS
25,,255.92968919999998,STR
