Minisector,LEC,GAS,Fastest
0,296.78359090423544,304.15355164160155,GAS
1,305.5,321.71708413415985,GAS
2,309.2615351747368,329.5032636165079,GAS
3,292.4107121329064,306.39016647162794,GAS
4,173.34286279717105,155.1040266288845,LEC
5,212.45645479505933,208.9596364838788,LEC
6,241.44138905396827,233.34452887923248,LEC
7,270.5085524518095,268.9977425511111,LEC
8,258.123404295439,244.56213472858497,LEC
9,158.9592603515958,156.89993203105763,LEC
10,224.45231298586683,215.62334929173085,LEC
11,126.49169973855248,126.30754324114854,LEC
12,228.65396862666668,225.81505524997647,LEC
13,176.9793002425449,171.73231136994625,LEC
14,216.2263045738528,218.522847270559,GAS
15,244.90876841876047,242.34289819382417,LEC
16,268.86821124397574,266.53642870718613,LEC
17,291.9578870222222,288.45004423365083,LEC
18,152.20325549099493,145.23219741357357,LEC
19,163.09400428440512,160.93171516800024,LEC
20,140.1071126111191,138.57235742644957,LEC
21,229.0368913673096,231.5136220420513,GAS
22,263.6209359210486,261.7143220894418,LEC
23,252.5286937095626,251.1060192019671,LEC
24,278.3283217817134,278.5809588312843,GAS
25,289.8875008,,LEC
