Minisector,PIA,SAI,Fastest
0,297.5119199927746,304.53290716625173,SAI
1,170.5059265722546,161.04771833242313,PIA
2,175.48174109373932,170.43479843140707,PIA
3,252.95768725394285,248.71337541511377,PIA
4,288.39125351339254,285.00467642015184,PIA
5,253.58724090510802,234.38988395438017,PIA
6,233.62216212453134,220.51268955639793,PIA
7,157.398032446749,151.8177853521716,PIA
8,229.30860568435767,228.87072663633782,PIA
9,283.7347807047619,282.8983218247032,PIA
10,305.1311377750932,308.36827399420366,SAI
11,314.53563180440125,324.6884564124157,SAI
12,319.4846198269006,336.4335239517147,SAI
13,317.5215765982547,328.1797088752811,SAI
14,124.19838569530837,119.22787110391694,PIA
15,117.53197088204112,118.13238482331494,SAI
16,103.87297407637402,110.6948682476533,SAI
17,237.2980524051777,242.0795386273354,SAI
18,286.26661828848484,290.3750535149168,SAI
19,305.3883286030382,316.0997665495375,SAI
20,315.19712907402317,332.67370379595025,SAI
21,316.80897609916855,333.24412848,SAI
22,122.84793037376956,117.88345405395059,PIA
23,212.00121311181022,219.2340445031087,SAI
24,271.80091471179577,277.03009228085904,SAI
25,286.9124992,,PIA
