Minisector,LEC,ALB,Fastest
0,260.5184936886131,258.1740246414492,LEC
1,131.83842425218248,133.9320509912945,ALB
2,269.85940317633475,268.00521750747447,LEC
3,311.1957720639821,309.5171683911022,LEC
4,309.7745289999724,307.8742237578159,LEC
5,318.3899538687227,318.0604260781167,LEC
6,323.5836096764022,322.98003396820377,LEC
7,322.5672,320.9374626091407,LEC
8,198.64149888673626,191.57892983200182,LEC
9,206.94724383679196,207.45350015392572,ALB
10,179.3314000651882,176.57020100915747,LEC
11,174.49433731797768,179.03004431461747,ALB
12,261.07611339904344,264.0467234258231,ALB
13,284.1010132329908,278.20244247628455,LEC
14,287.45046379244667,282.06329826723714,LEC
15,279.0920545385104,259.4032363085714,LEC
16,170.8146371424305,172.73248260407405,ALB
17,197.72730174611462,198.55164909651938,ALB
18,250.97648102103705,252.00068048660316,ALB
19,294.1112488875844,294.25880126349506,ALB
20,312.0108025169463,312.5190080894811,ALB
21,317.779029265348,317.7985317587302,ALB
22,316.2634573578422,314.4099444792889,LEC
23,272.12723849142856,221.05443819757235,LEC
24,118.79779895050802,125.82053356423303,ALB
25,232.34999679999999,,LEC
