Minisector,VER,COL,Fastest
0,276.0287763428403,288.735670447257,COL
1,147.99851913129834,159.8198077132678,COL
2,166.9763838316553,164.68822776041006,VER
3,244.43968898652577,239.32608511028297,VER
4,273.2061079636363,274.6907522668078,COL
5,229.37964158064503,234.7279739305864,COL
6,204.62404992646464,202.74415895241665,VER
7,137.8955803504291,138.65999057567413,COL
8,228.1244803181318,226.60892584972927,VER
9,297.64619835428573,298.8704348556204,COL
10,320.7731324801101,320.056823629734,VER
11,320.48212192477155,321.459765692731,COL
12,314.90513884952384,312.8189474031746,VER
13,310.90399900872177,306.22059732119953,VER
14,123.43611468930904,132.6007628472957,COL
15,112.63246107566142,118.71667236738578,COL
16,101.21670791144734,97.50920128925442,VER
17,241.19611961366329,235.8986295155388,VER
18,303.4608010059783,302.08569657263155,VER
19,318.8068838374194,318.1439778647623,VER
20,317.06704647155755,314.1701820737255,VER
21,315.7857145904762,310.85976217620646,VER
22,129.20449801549108,121.72740232700755,VER
23,200.6587467942093,191.30811134379837,VER
24,263.6395461263238,272.9418302353824,COL
25,268.7083328,282.71874986666666,COL
