Minisector,HAM,VET,Fastest
0,234.48746153700435,237.7417690810333,VET
1,285.52931228782717,286.99526535757576,VET
2,302.1200757818182,299.90884353741495,HAM
3,308.60479168,305.6155410847494,HAM
4,278.48987092537817,280.8042660713023,VET
5,174.61218292311963,169.65067222593183,HAM
6,265.12707568451935,264.1051455366588,HAM
7,282.5625541610389,284.7706440242424,VET
8,218.1357975793257,219.66172942562525,VET
9,221.18461972016462,219.9605235755102,HAM
10,195.16181386897546,193.54259204582397,HAM
11,223.43350762405677,225.46443474285712,VET
12,204.5122112639017,210.38789693134095,VET
13,221.85630028584887,222.8907091583184,VET
14,222.76307498456487,229.06636921904763,VET
15,181.43834369808008,182.5308869573014,VET
16,251.11112018451774,249.15288467692307,HAM
17,293.64594551458777,294.17611242102913,VET
18,312.3208333333333,310.61719296,HAM
19,302.2813490285714,308.042326235889,VET
20,132.54875661663547,129.25343492224587,HAM
21,167.6399010813977,167.90130693086533,VET
22,155.27273594554345,153.8131985480507,HAM
23,204.4242126311172,212.71219284688033,VET
24,147.80884063749966,144.74229509006648,HAM
25,187.33333333333331,183.86667093333335,HAM
