Minisector,SAI,MAG,Fastest
0,232.34062553319205,230.50109062474067,SAI
1,281.3192551619048,278.90121303425207,SAI
2,293.8250407772107,295.35258913428834,MAG
3,298.65615485231405,302.6677975847619,MAG
4,265.86201694677794,277.70465083146576,MAG
5,166.68272311122382,165.3961936286768,SAI
6,262.1277989870886,255.97978111510932,SAI
7,280.0480587878788,277.98566218112325,SAI
8,217.30849273163383,224.67681360403657,MAG
9,221.11644993613442,215.37039769575728,SAI
10,181.45964228192645,187.56493456054818,MAG
11,221.48635246369514,218.16685614454747,SAI
12,209.76615636037354,210.26052494916934,MAG
13,214.1813779427515,218.88523529880152,MAG
14,220.65828338546893,218.0089970073727,SAI
15,178.74581897905753,181.6253931929953,MAG
16,245.9463944307055,239.66349725104394,SAI
17,283.5347486146707,282.27822744672324,SAI
18,295.7530918005056,297.4074062445763,MAG
19,287.818425565368,293.8184020456297,MAG
20,131.264281050797,139.2745031116196,MAG
21,161.3581254926863,175.9183524994115,MAG
22,151.93327365506147,133.97603720909225,SAI
23,203.28043378259557,220.8205210179148,MAG
24,144.47885647347167,141.29815810225278,SAI
25,180.76666666666668,167.39666431999999,SAI
