Minisector,ALO,TSU,Fastest
0,297.90639228799273,295.7463637754459,ALO
1,217.11934875943413,200.87415475396807,ALO
2,229.0540914499734,229.06860719009222,TSU
3,276.8397590499766,274.37707850897084,ALO
4,255.8835579302603,239.91775233131312,ALO
5,124.30794168354858,124.94550639303658,TSU
6,215.02034943472316,209.19131651622993,ALO
7,259.8685587790505,255.5770247626182,ALO
8,246.45405994314464,242.01550053052526,ALO
9,244.00429489631833,236.21171286428785,ALO
10,275.0069468073439,272.8035948001991,ALO
11,292.22218067555553,290.2848598727908,ALO
12,299.81751491742,298.1822262487735,ALO
13,301.7314044337397,301.4999258652257,ALO
14,297.4502138377335,301.3259522895473,TSU
15,254.8498521138189,257.77519990942875,TSU
16,244.766862488658,243.14630621118758,ALO
17,279.63676206560535,276.1525178359486,ALO
18,287.1603615425837,286.9561229035163,ALO
19,161.66598786574755,161.77657346372212,TSU
20,210.96600402068026,209.74065119066557,ALO
21,188.68841130091604,193.13529801120424,TSU
22,145.59559190554305,137.20299094517057,ALO
23,242.79787736684145,232.7499125642713,ALO
24,283.46329660709506,279.8864150457231,ALO
25,294.8214290285714,292.4875008,ALO
