Minisector,PER,HAM,Fastest
0,269.52387246547863,265.91659186668693,PER
1,291.6524077035498,286.2019895750549,PER
2,283.4763895163823,273.840884352,PER
3,156.73931747887957,156.70559609881138,PER
4,192.30004616097108,190.41592393484527,PER
5,167.8112922816259,173.5457419670366,HAM
6,157.3229982556391,164.14458277812815,HAM
7,183.28128014943348,186.70641059918367,HAM
8,235.24137475566883,238.45875419872237,HAM
9,229.35852198772457,220.68994167816712,PER
10,141.34639558919247,143.86362031707696,HAM
11,218.3741441611729,221.89487713234666,HAM
12,104.43311963228987,107.05022953163403,HAM
13,212.7929616336939,214.78751030227272,HAM
14,264.9914977004316,263.44992621670457,PER
15,272.9281378937198,271.82132472573187,PER
16,169.79553783015643,170.1455945727974,HAM
17,152.1582498030044,157.33457505861523,HAM
18,250.0329074333054,250.60575250668896,HAM
19,281.2033806714834,275.27112630273194,PER
20,294.56862772298365,290.205843733686,PER
21,287.9401655185083,278.25555259800234,PER
22,232.3840602748924,233.45054493563302,HAM
23,100.17622373091719,100.40198104229489,HAM
24,216.44392655069146,222.1450315970971,HAM
25,254.520832,,PER
