Minisector,LEC,SAI,Fastest
0,256.02913294216023,260.28247398717394,SAI
1,235.01472517732768,221.74236844226505,LEC
2,145.3073376231884,145.59160489876544,SAI
3,237.24539947805502,242.85488040257775,SAI
4,268.70950024533334,269.954736952381,SAI
5,183.59259511056024,176.88178881058042,LEC
6,101.25820431435366,97.80535293312215,LEC
7,133.89440570444427,137.40513170655933,SAI
8,246.49358519082892,252.19520579164833,SAI
9,172.5611331082045,164.02503434874777,LEC
10,184.79756818622118,186.43680427456746,SAI
11,254.62490142023395,259.32415575459373,SAI
12,237.60344694819034,250.0346671915344,SAI
13,258.2164088863064,267.27024791500406,SAI
14,280.5070655536232,286.80199257971015,SAI
15,279.3800998406391,271.67275505397515,LEC
16,136.8947975259182,139.90053427388452,SAI
17,229.68853669646577,235.88183149151996,SAI
18,275.77821277876507,278.6724635826087,SAI
19,285.15250493968256,288.90346787246375,SAI
20,286.546221720911,291.9429347246377,SAI
21,291.89402179710146,293.23667933737374,SAI
22,141.92322183831067,145.79717384126982,SAI
23,79.3728526300439,84.39259284343927,SAI
24,158.09212573486363,169.7878197059829,SAI
