Minisector,PER,ALO,Fastest
0,279.41859830787877,290.80753402107933,ALO
1,292.4420609105473,305.4263654125117,ALO
2,297.79032120117785,312.34665592736656,ALO
3,297.82619762229274,293.92639323089946,PER
4,168.63010107598228,158.50084373981636,PER
5,203.43906475720163,198.14177440293582,PER
6,232.15823288318217,219.17384965874209,PER
7,263.89675268244895,257.6432517507636,PER
8,252.00902863480468,229.69700351492065,PER
9,155.18648475564004,147.56579262113826,PER
10,216.8773777542798,209.55038344679087,PER
11,131.39065860502163,125.31640168895704,PER
12,223.41815232433748,225.25644802225196,ALO
13,175.52635330521406,163.7848156325926,PER
14,211.91127697772984,209.46490012451162,PER
15,226.23423015902807,215.98146842849272,PER
16,255.61433201874894,251.39461524812003,PER
17,283.66484937142855,268.00797754731315,PER
18,153.14393744279113,141.91395597458867,PER
19,164.27727968170373,159.10839976837522,PER
20,139.96438484401355,136.3778948438043,PER
21,153.58134135869707,144.8161034015856,PER
22,110.9591965904933,106.51707649606622,PER
23,217.58644956675323,216.14644132344986,PER
24,263.40286845765047,259.3144325592902,PER
