Minisector,ALO,OCO,Fastest
0,304.8043759254914,292.8197994880576,ALO
1,323.2429436052389,304.0668686847619,ALO
2,325.52647566666667,309.8550068614617,ALO
3,318.29361961666666,304.51173197714286,ALO
4,159.88106293051146,163.64271688754434,OCO
5,203.08744086849285,197.64776819129392,ALO
6,239.5199768490775,233.54260680709203,ALO
7,264.33988865336676,265.7172895154765,OCO
8,245.53839771015714,253.15884588188064,OCO
9,155.8971787612165,157.6709606805375,OCO
10,222.9287022509266,218.45226975933747,ALO
11,124.65365595404292,122.84650028765229,ALO
12,225.3327790968889,222.24791457289376,ALO
13,177.3883333726364,178.40244130674213,OCO
14,213.69360934338164,206.66025594433017,ALO
15,236.47998461832756,238.47833557709316,OCO
16,262.6250009896296,260.8729161498413,ALO
17,292.7033241769697,283.011434957037,ALO
18,153.2441285637132,158.79221312790122,OCO
19,159.29015274141994,159.3285536751437,OCO
20,137.294790381244,133.97822516406956,ALO
21,230.19799535416013,225.85537048728744,ALO
22,259.426373333868,264.24492441022556,OCO
23,247.70835519445885,247.5789762884295,ALO
24,276.77632677272726,272.8024750556863,ALO
25,293.3875008,285.24999893333336,ALO
