Minisector,BOT,VET,Fastest
0,291.04073335271374,282.4895933000536,BOT
1,312.6776295564946,295.61890326039946,BOT
2,246.92995612201287,246.04128737704147,BOT
3,120.9492373519037,122.38026248922486,VET
4,141.97643268275573,143.92125838043242,VET
5,253.28333040638162,253.28149751416132,BOT
6,247.991488049474,260.5200595554338,VET
7,131.8316258557781,129.53228180484206,BOT
8,250.5979668408264,248.80697391683796,BOT
9,265.0909189877556,265.955478673495,VET
10,210.845919340293,221.64893721159336,VET
11,148.5680477163646,149.4979409294831,VET
12,223.0503266839953,218.65772500491914,BOT
13,257.46620922272496,264.3255531978482,VET
14,117.78948675847033,119.1416243230149,VET
15,208.34033594507272,201.117692399242,BOT
16,264.12450176598264,259.33101552759746,BOT
17,292.5170491418456,285.95319130438196,BOT
18,307.70004137062034,297.0095415618168,BOT
19,321.7264809161082,300.7061824663182,BOT
20,330.54048910173356,299.6467417966882,BOT
21,157.51327854849427,167.00334177050763,VET
22,153.6829997155364,151.76288259514953,BOT
23,183.75862599247807,207.7615149887696,VET
24,238.52608830591683,240.64925490236251,VET
25,275.5208373333333,267.80597104269725,BOT
