Minisector,HAM,ALO,Fastest
0,294.7570313853535,292.2503991029318,HAM
1,306.29295461333334,301.6462602191597,HAM
2,311.9339445949556,305.7182341663492,HAM
3,314.87405864744574,291.07643589610393,HAM
4,155.43040233849047,163.8154811465534,ALO
5,209.90239970530817,212.9977090114863,ALO
6,240.98126746719564,244.94093303619047,ALO
7,273.27956117974935,269.10060475778704,HAM
8,249.21982927688313,242.55032041142857,HAM
9,156.0733187468078,156.32390133132787,ALO
10,216.63480225873016,218.1553470551849,ALO
11,128.22710140131142,127.1316107542516,HAM
12,235.94233617822707,220.14002888629489,HAM
13,175.3447597813152,178.84230809108513,ALO
14,218.779999182523,207.30680051445654,HAM
15,242.333547435297,239.99660740481175,HAM
16,269.2422787908618,261.9613826273079,HAM
17,300.4312143559497,286.7346616767789,HAM
18,151.31760957444624,150.72022323361344,HAM
19,166.77460046531064,163.92532539666743,HAM
20,134.87041187219364,132.16067380379735,HAM
21,228.3503506535266,226.25507674203507,HAM
22,264.2766312642938,261.37585117929893,HAM
23,248.09925121119983,253.06367663058822,ALO
24,277.3736347906629,278.4949211371708,ALO
25,290.1,288.21071359999996,HAM
