Minisector,BOT,PER,Fastest
0,259.4783976120412,255.34620338424608,BOT
1,213.9617801717655,202.89763890883842,BOT
2,226.27815879412563,220.20849360116264,BOT
3,263.58132107595145,262.9888953199737,BOT
4,276.14176223384123,276.9116482380884,PER
5,223.35402905143056,211.814414536594,BOT
6,98.63722102801293,95.82067639559688,BOT
7,188.34329429464552,190.8948381774527,PER
8,273.1328143192695,273.6104428982484,PER
9,296.47731375821115,297.0579709155178,PER
10,304.70970331191387,307.9481080383549,PER
11,306.07894736842104,305.1467174470746,BOT
12,110.86992876448794,112.71462102677798,PER
13,218.37305356643844,224.11240427823842,PER
14,285.9143145421802,279.89250270968654,BOT
15,311.6296766936579,300.9834820342857,BOT
16,230.4203936784322,193.98633095486133,BOT
17,129.48669238229627,123.12421657729622,BOT
18,163.07199280367527,154.90169461538468,BOT
19,255.76645387319303,258.98585523810567,PER
20,166.3558940571054,142.46270340041156,BOT
21,133.6442402419674,127.86011467310072,BOT
22,206.55164972256895,207.41095328335578,PER
23,212.02017942694496,187.91513165387624,BOT
24,172.20940134090446,162.1796412274902,BOT
25,231.40833706666666,,BOT
