Minisector,NOR,MAG,Fastest
0,284.7216871977143,285.8623621657416,MAG
1,294.0599069361879,296.34627388903664,MAG
2,299.41651508175045,301.17418147817733,MAG
3,299.65743062320985,298.9176599012063,NOR
4,196.57055603309968,192.27141248231163,NOR
5,213.2310484107592,209.30381682590476,NOR
6,263.7776918780062,261.89412352617626,NOR
7,260.3186504486957,262.3612587925466,MAG
8,192.22884179911355,183.62919032622148,NOR
9,144.83580779662344,149.61357700609227,MAG
10,181.97159587950617,178.3606793930979,NOR
11,255.9781792128436,255.44225576989274,NOR
12,240.76567275336237,244.8597247987011,MAG
13,224.8630081325655,217.52737568914287,NOR
14,265.35291859058253,263.46850041168506,NOR
15,170.68852110014765,168.25897202015653,NOR
16,221.73971159030444,217.26623233510645,NOR
17,232.86099768135793,237.06421974718614,MAG
18,132.57552553720092,130.5147294300534,NOR
19,237.45766763213712,243.45333293389436,MAG
20,272.71182626291653,275.0734024304762,MAG
21,243.4847493193506,252.58171125807877,MAG
22,134.94336897321207,136.09390346028283,MAG
23,208.67974798304326,199.5164610038836,NOR
24,267.68330044190475,262.08119371074963,NOR
25,,278.47499946666665,MAG
