Minisector,ALO,NOR,Fastest
0,268.82857122539684,278.3820327958453,NOR
1,292.3141217311016,301.28946051764706,NOR
2,304.85177049957235,313.6059522330532,NOR
3,312.11778711484595,321.62426453333336,NOR
4,316.96593129411764,325.77199934365484,NOR
5,321.8611717843864,327.7318627137255,NOR
6,208.10224370402932,209.54241437128138,NOR
7,107.52200735593662,106.53783603086355,ALO
8,184.81098237611698,187.50397277906254,NOR
9,259.8519995640631,264.7958328090703,NOR
10,289.8054823859649,294.6775058911673,NOR
11,165.2072486231552,161.64065305546217,ALO
12,99.61331375672046,99.28036351299923,ALO
13,116.08046729522793,115.64198731736658,ALO
14,221.04202126058016,223.8018370915114,NOR
15,191.69120331851852,187.62463735671213,ALO
16,229.2092772809638,224.5814980063492,ALO
17,185.75486069333334,182.7081353063715,ALO
18,237.94030184844925,242.31609784242426,NOR
19,277.8053019875443,283.25460502456144,NOR
20,253.6928307011338,244.67561526115935,ALO
21,146.20710750293014,143.7655893209781,ALO
22,96.34246758442164,94.75594046666406,ALO
23,124.75935987793635,125.4526871493254,NOR
24,224.22275173817525,232.34039795942027,NOR
